year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,44,727,58.8,-1.0,,0.0,
2014,44,727,74.5,-1.0,,0.0,
2014,44,727,45.2,-1.0,,0.0,
2014,44,727,33.4,-1.0,,0.0,
2014,45,1156,48.2,-1.0,,0.0,
2014,45,1156,36.2,-1.0,,0.0,
2014,45,1156,85.4,-1.0,,0.0,
2014,45,1156,73.7,-1.0,,0.0,
2014,45,1156,123.7,-1.0,,0.0,
2014,45,1156,109.3,-1.0,,0.0,
2014,45,1156,69.1,-1.0,,0.0,
2014,45,1156,70.80000000000001,-1.0,,0.0,
2014,45,1156,58.8,-1.0,,0.0,
2014,45,1156,74.5,-1.0,,0.0,
2014,45,1156,45.2,-1.0,,0.0,
2014,45,1156,33.4,-1.0,,0.0,
2014,46,1418,48.2,-1.0,,0.0,
2014,46,1418,36.2,-1.0,,0.0,
2014,46,1418,85.4,-1.0,,0.0,
2014,46,1418,73.7,-1.0,,0.0,
2014,46,1418,123.7,-1.0,,0.0,
2014,46,1418,109.3,-1.0,,0.0,
2014,46,1418,69.1,-1.0,,0.0,
2014,46,1418,70.80000000000001,-1.0,,0.0,
2014,46,1418,58.8,-1.0,,0.0,
2014,46,1418,74.5,-1.0,,0.0,
2014,46,1418,45.2,-1.0,,0.0,
2014,46,1418,33.4,-1.0,,0.0,
2014,47,2403,48.2,-1.0,,0.0,
2014,47,2403,36.2,-1.0,,0.0,
2014,47,2403,85.4,-1.0,,0.0,
2014,47,2403,73.7,-1.0,,0.0,
2014,47,2403,123.7,-1.0,,0.0,
2014,47,2403,109.3,-1.0,,0.0,
2014,47,2403,69.1,-1.0,,0.0,
2014,47,2403,70.80000000000001,-1.0,,0.0,
2014,47,2403,58.8,-1.0,,0.0,
2014,47,2403,74.5,-1.0,,0.0,
2014,47,2403,45.2,-1.0,,0.0,
2014,47,2403,33.4,-1.0,,0.0,
2014,48,3625,48.2,-1.0,,0.0,
2014,48,3625,36.2,-1.0,,0.0,
2014,48,3625,85.4,-1.0,,0.0,
2014,48,3625,73.7,-1.0,,0.0,
2014,48,3625,123.7,-1.0,,0.0,
2014,48,3625,109.3,-1.0,,0.0,
